arm,stake,seed,avg_quality_gap,avg_toxicity,total_welfare,accepted_interactions,gate_checks,gate_blocks,gate_blocks_low_quality,gate_blocks_honest,agents_below_bar,agents_below_bar_low_quality,spread_basis,mean_basis_deceptive,mean_basis_honest,mean_basis_opportunistic
control,95.0,42,0.06224752143941894,0.33746531444014277,161.42888585528968,238,2000,0,0,0,0,0,1.0,99.5,99.4,99.66666666666667
control,95.0,43,0.042235095325759565,0.3240895847675912,180.9387821605799,246,2000,0,0,0,0,0,1.0,99.5,99.4,100.0
control,95.0,44,0.03777538805130125,0.340636080373475,170.51087107425758,253,2000,0,0,0,0,0,1.0,99.5,99.8,100.0
control,95.0,45,0.03527794313349345,0.3252652398866608,182.23742846351928,239,2000,0,0,0,0,0,1.0,99.5,99.4,100.0
control,95.0,46,0.04183584513007163,0.33509278479504495,174.7420391762722,254,2000,0,0,0,0,0,1.0,99.5,99.6,99.66666666666667
control,99.0,42,0.06224752143941894,0.33746531444014277,161.42888585528968,238,2000,0,0,0,0,0,1.0,99.5,99.4,99.66666666666667
control,99.0,43,0.042235095325759565,0.3240895847675912,180.9387821605799,246,2000,0,0,0,0,0,1.0,99.5,99.4,100.0
control,99.0,44,0.03777538805130125,0.340636080373475,170.51087107425758,253,2000,0,0,0,0,0,1.0,99.5,99.8,100.0
control,99.0,45,0.03527794313349345,0.3252652398866608,182.23742846351928,239,2000,0,0,0,0,0,1.0,99.5,99.4,100.0
control,99.0,46,0.04183584513007163,0.33509278479504495,174.7420391762722,254,2000,0,0,0,0,0,1.0,99.5,99.6,99.66666666666667
control,100.0,42,0.012139767027702777,0.34945446862138396,98.75946782799582,160,2000,930,370,560,5,2,1.0,99.5,99.4,99.66666666666667
control,100.0,43,0.048045914275361326,0.360197087431405,81.50524618824466,164,2000,760,190,570,4,1,1.0,99.5,99.4,100.0
control,100.0,44,0.018137993207818177,0.34463112439556354,137.5366315367598,228,2000,380,190,190,2,1,1.0,99.5,99.8,100.0
